Name;B1;B11;B12;B2;B3;B4;B5;B6;B7;B8;B8A;B9;real;ppn;svm;tree;lr;forest;knn;ac;k_means
pin_581;0.0179;0.1419;0.0649;0.0107;0.0366;0.0162;0.0792;0.2428;0.27;0.2524;0.2882;0.3182;4;4;4;4;4;4;4;4;4
pin_1017;0.0583;0.1817;0.1319;0.0437;0.0722;0.0729;0.1232;0.1935;0.2185;0.2846;0.2203;0.2661;9;9;9;9;9;9;9;9;9
pin_762;0.0249;0.4275;0.3277;0.0312;0.0445;0.0872;0.1099;0.1309;0.157;0.1934;0.2089;0.2066;6;6;6;6;6;6;6;6;6
pin_687;0.0661;0.3801;0.381;0.1672;0.2252;0.292;0.3067;0.318;0.3322;0.3482;0.3317;0.2855;5;5;5;5;5;5;5;5;5
pin_187;0.0088;0.0048;0.0044;0.0062;0.0057;0.0066;0.0065;0.0029;0.0039;0.0037;0.0039;0.003;2;2;2;2;2;2;2;10;10
pin_482;0.0207;0.1843;0.0877;0.0212;0.0549;0.0237;0.1106;0.3137;0.3576;0.3852;0.3915;0.3441;4;4;4;4;4;4;4;4;4
pin_6;0.0862;0.2384;0.2387;0.1682;0.1858;0.2054;0.202;0.2112;0.2121;0.2188;0.2075;0.239;1;1;1;1;1;1;1;5;5
pin_318;0.0227;0.1422;0.0803;0.0204;0.0373;0.0325;0.0718;0.1393;0.1558;0.171;0.1745;0.1804;3;3;3;3;3;3;3;3;3
pin_403;0.0214;0.1436;0.0903;0.023;0.0428;0.0387;0.0743;0.1358;0.1505;0.1666;0.1702;0.1729;3;6;3;3;3;3;3;3;3
pin_248;0.0091;0.0052;0.0041;0.0056;0.0063;0.007;0.0051;0.0032;0.0036;0.0031;0.0035;0.0031;2;2;2;2;2;2;2;10;10
pin_999;0.0631;0.1281;0.1049;0.0392;0.0371;0.0411;0.0757;0.0989;0.0941;0.0695;0.1032;0.2105;7;7;7;7;7;7;7;3;7
pin_387;0.0257;0.14;0.0828;0.0203;0.0393;0.0362;0.072;0.1346;0.1562;0.1738;0.1707;0.1795;3;3;3;3;3;3;3;3;3
pin_32;0.1395;0.2213;0.2266;0.1504;0.1782;0.2054;0.1913;0.1946;0.1919;0.2142;0.1973;0.2411;1;1;1;1;1;1;1;1;1
pin_673;0.0661;0.3387;0.318;0.132;0.182;0.2226;0.2558;0.2849;0.2995;0.3354;0.3117;0.2855;5;5;5;5;5;5;5;5;5
pin_495;0.0179;0.1608;0.0749;0.0216;0.0588;0.0246;0.0974;0.2727;0.3021;0.379;0.3288;0.3182;4;4;4;4;4;4;4;4;4
pin_56;0.1611;0.2689;0.2511;0.18;0.2092;0.2458;0.2384;0.24;0.2273;0.2614;0.2347;0.26;1;1;1;1;1;1;1;1;1
pin_153;0.0088;0.0048;0.0044;0.005;0.0072;0.0063;0.0065;0.0029;0.0039;0.0035;0.0039;0.003;2;2;2;2;2;2;2;10;10
pin_1063;0.0542;0.2197;0.1487;0.0545;0.079;0.0975;0.1487;0.2414;0.2716;0.1928;0.2752;0.2603;9;9;9;9;9;9;9;9;9
pin_905;0.0414;0.0916;0.0866;0.0281;0.0323;0.0321;0.045;0.0581;0.0578;0.0527;0.0716;0.1125;7;7;7;7;7;7;7;3;7
pin_421;0.0227;0.1427;0.0821;0.0228;0.0443;0.0381;0.076;0.1407;0.1612;0.1934;0.1825;0.1804;3;3;3;3;3;3;3;3;3
pin_1249;0.0119;0.0031;0.003;0.007;0.006;0.0069;0.0066;0.0045;0.0066;0.0065;0.0025;0.0017;10;6;10;10;10;10;10;10;10
pin_1039;0.0453;0.1953;0.1327;0.0416;0.0612;0.0938;0.1332;0.1927;0.2112;0.2092;0.2598;0.3187;9;9;9;9;9;9;9;9;9
pin_602;0.0693;0.3394;0.3611;0.1616;0.2054;0.2678;0.2687;0.2797;0.2736;0.3108;0.2773;0.2118;5;5;5;5;5;5;5;5;5
pin_454;0.0191;0.1454;0.0653;0.0192;0.0557;0.0199;0.0913;0.2565;0.2844;0.3548;0.3165;0.3197;4;4;4;4;4;4;4;4;4
pin_419;0.0227;0.1427;0.0821;0.0205;0.0386;0.035;0.076;0.1407;0.1612;0.171;0.1825;0.1804;3;3;3;3;3;3;3;3;3
pin_1236;0.0113;0.0033;0.002;0.0039;0.0058;0.0075;0.0077;0.0037;0.005;0.0043;0.0043;0.0018;10;6;10;10;10;10;10;10;10
pin_870;0.025;0.3585;0.2965;0.031;0.0418;0.0756;0.0996;0.1207;0.1436;0.1682;0.1874;0.1889;6;6;6;6;6;6;6;6;6
pin_983;0.0542;0.1417;0.1207;0.0216;0.0271;0.0274;0.078;0.1012;0.1011;0.0557;0.1285;0.2205;7;7;7;7;7;7;7;3;7
pin_1266;0.0113;0.0039;0.0018;0.0067;0.0073;0.008;0.007;0.0054;0.0044;0.0048;0.0034;0.0018;10;6;10;10;10;10;10;10;10
pin_436;0.0215;0.1292;0.0733;0.0194;0.0372;0.0324;0.0694;0.1361;0.1536;0.1678;0.1743;0.1761;3;3;3;3;3;3;3;3;3
pin_862;0.0234;0.3833;0.3146;0.0283;0.0396;0.0752;0.0944;0.1122;0.1373;0.1708;0.1822;0.1841;6;6;6;6;6;6;6;6;6
pin_1033;0.051;0.2007;0.1344;0.0518;0.0793;0.0822;0.1275;0.2373;0.2578;0.274;0.2923;0.254;9;4;9;9;9;9;9;9;9
pin_480;0.0207;0.181;0.0868;0.0258;0.0692;0.0274;0.1064;0.321;0.3457;0.4086;0.3763;0.3441;4;4;4;4;4;4;4;4;4
