;B1;B2;B3;B4;B5;B6;B7;B8;B8A;B9;B11;B12;real;k_means;fcm 1;fcm 2;fcm 3;fcm max;Agglomerative
423;0.1365;0.131;0.1202;0.1354;0.1349;0.1444;0.1502;0.172;0.1684;0.1172;0.1097;0.1038;1;0;0.9997357530814475;4.4479159310199654e-05;0.00021976775924247637;0;1
468;0.1358;0.1418;0.1226;0.1388;0.1474;0.1723;0.1811;0.2076;0.1973;0.1392;0.0759;0.0647;3;1;0.00022044279684569484;0.9972088156673272;0.0025707415358270317;1;2
2003;0.1285;0.1222;0.1064;0.1206;0.1272;0.1353;0.1408;0.1598;0.1624;0.1201;0.1254;0.1134;1;0;0.9999969165871154;3.764429036892751e-08;3.0457685942144704e-06;0;1
203;0.1285;0.118;0.1094;0.1282;0.1292;0.15;0.1584;0.1912;0.1694;0.1201;0.1135;0.0948;2;0;0.9997666449505165;8.084105108983117e-07;0.00023254663897257744;0;1
467;0.1358;0.1252;0.116;0.1222;0.1462;0.1823;0.2002;0.2026;0.215;0.1392;0.0791;0.0619;3;1;0.00028158151865033783;0.502930395212133;0.4967880232692168;1;2
385;0.1399;0.1374;0.1254;0.1248;0.1474;0.197;0.2119;0.2438;0.2425;0.1414;0.0862;0.0663;3;1;4.99217209731525e-08;0.9999941466609507;5.803417328346188e-06;1;2
338;0.1365;0.146;0.1222;0.1344;0.124;0.1468;0.1461;0.1548;0.1565;0.1172;0.1256;0.1219;1;0;0.9991605269024614;0.00021520065569747106;0.0006242724418411519;0;1
116;0.1254;0.1048;0.1072;0.1222;0.1471;0.209;0.2379;0.274;0.2706;0.1281;0.1085;0.0879;2;2;0.0037348636140554867;0.034757927921182395;0.9615072084647621;2;0
202;0.1285;0.1204;0.1026;0.1202;0.1397;0.1497;0.1612;0.176;0.174;0.1201;0.1227;0.1043;2;0;0.9994190948904231;3.0466174866718745e-06;0.0005778584920901538;0;1
3001;0.1358;0.1392;0.1382;0.143;0.1474;0.1723;0.1811;0.2084;0.1973;0.1392;0.0759;0.0647;3;1;0.0004401361512347962;0.9974559679279167;0.0021038959208485642;1;2
